,project_id,foiv,7.1,7.1_other,14.2,14.3,14.4,7.2,7.2_other,7.1.6_total_once,7.1.6_total_regular,7.1.6_total_benefit_once,7.1.6_total_benefit_regular,9.5,9.6,9.7,2.1
152,99569,Минсельхоз России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
153,99569,Минсельхоз России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
154,99763,Минтранс России,cit_action,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
155,101806,Минприроды России,cit_no_action,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,valid,средняя
156,100920,МЧС России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
157,101005,Минфин России,actor_specific,foiv_no_action,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
158,101005,Минфин России,actor_specific,foiv_no_action,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
159,101495,Минтранс России,actor_specific,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
160,98687,Минтранс России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
161,97409,Минвостокразвития России,cit_action,no_info,valid,invalid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
162,97604,Минэнерго России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
163,96180,МЧС России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
164,96180,МЧС России,actor_general,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
165,65977,Минтранс России,actor_specific,actor_general,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
166,65977,Минтранс России,actor_specific,actor_general,valid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
167,94475,МЧС России,foiv_cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
168,102414,Минприроды России,cit_action,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
169,99355,Минфин России,actor_general,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
170,95130,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
171,101050,Росреестр,cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
172,101434,Ростехнадзор,actor_general,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
173,101434,Ростехнадзор,actor_general,foiv_no_action,valid,valid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
174,105299,Минтранс России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,высокая
175,99504,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
